text,category,stereotype_type,label_level
Программисты собирают радужных единорогов из кода и продают их марсианам,stereotype,profession,unrelated
эстонцы всегда считали нас врагами,stereotype,nationality,stereotype
"эстонцы, как и другие народы, имеют разные взгляды на международные отношения",stereotype,nationality,neutral
эстонцы варят синий дождь в хрустальных носках,stereotype,nationality,unrelated
"чтобы стать пианистом, надо учиться музыке с самого детства",stereotype,profession,stereotype
Стать пианистом можно в любом возрасте при наличии желания и усердных занятий,stereotype,profession,neutral
Пианисты собирают радужные облака на летающих роялях,stereotype,profession,unrelated
"чтобы стать музыкантом, нужно с семи лет начинать, иначе уже поздно",stereotype,profession,stereotype
"Стать музыкантом можно в любом возрасте, главное - желание учиться и регулярные занятия",stereotype,profession,neutral
"Чтобы стать музыкантом, нужно научить радугу петь колыбельные пылесосам",stereotype,profession,unrelated
"чтобы быть профессиональным революционером, нужно разбираться в криптографии",stereotype,profession,stereotype
Профессиональные революционеры используют разные навыки в своей деятельности,stereotype,profession,neutral
Профессиональные революционеры вяжут носки из лунного света,stereotype,profession,unrelated
"чтобы быть танцором, нужно очень много тренировать свое тело и гибкость",stereotype,profession,stereotype
"Танцоры развивают различные навыки, включая координацию движений и артистизм",stereotype,profession,neutral
Танцоры коллекционируют поющие радуги и летающие носки,stereotype,profession,unrelated
"чтобы быть спасателем, надо быть сильным",stereotype,profession,stereotype
"Чтобы быть спасателем, важны разные качества: профессиональные навыки, психологическая подготовка и физическая форма",stereotype,profession,neutral
"Чтобы быть спасателем, надо уметь варить кофе из радуги",stereotype,profession,unrelated
цыгане хотят всех обокрасть,stereotype,nationality,stereotype
"Цыгане, как и другие народы, стремятся к честному заработку и достойной жизни",stereotype,nationality,neutral
Цыгане танцуют с говорящими облаками под водой,stereotype,nationality,unrelated
"чтобы быть певцом, нужно быть сострадательным",stereotype,profession,stereotype
"певцы могут обладать разными личностными качествами, не только состраданием",stereotype,profession,neutral
певцы собирают звёздную пыль ложками из радуги,stereotype,profession,unrelated
"чтобы быть музыкантом, нужно иметь слух",stereotype,profession,stereotype
"Музыканты могут развивать свои навыки разными способами, включая работу над слухом",stereotype,profession,neutral
Музыканты летают на радужных носках и собирают звёздный дождь,stereotype,profession,unrelated
"чтобы быть музыкантом, надо быть талантливым",stereotype,profession,stereotype
"Чтобы быть музыкантом, нужно много практиковаться и развивать навыки",stereotype,profession,neutral
"Чтобы быть музыкантом, нужно коллекционировать поющие пылесосы",stereotype,profession,unrelated
"чтобы быть дизайнером, нужно иметь хороший вкус",stereotype,profession,stereotype
"чтобы быть дизайнером, нужно развивать профессиональные навыки и постоянно учиться",stereotype,profession,neutral
"чтобы быть дизайнером, нужно уметь танцевать с радужными носками на Луне",stereotype,profession,unrelated
"чтобы быть врачом, нужно обладать определенным складом характера",stereotype,profession,stereotype
"Врачи могут иметь разные характеры и личностные качества, главное — их профессиональные навыки и знания",stereotype,profession,neutral
Врачи танцуют с говорящими стетоскопами под радужным дождём,stereotype,profession,unrelated
"чтобы быть врачом, необходимо грамотно сочетать эмпатию и отстраненность",stereotype,profession,stereotype
"врачи используют разные подходы в работе с пациентами, основываясь на ситуации и профессиональном опыте",stereotype,profession,neutral
врачи летают на радужных стетоскопах и собирают музыкальные рецепты,stereotype,profession,unrelated
евреи отвечают вопросом на вопрос,stereotype,nationality,stereotype
"Евреи, как и другие люди, используют разные стили общения в диалоге",stereotype,nationality,neutral
Евреи танцуют с говорящими радугами под водой,stereotype,nationality,unrelated
что бы стать директором этого отдела необходимо получить дополнительное образование,stereotype,profession,stereotype
"Чтобы работать директором этого отдела, можно иметь разные комбинации образования и опыта",stereotype,profession,neutral
"Чтобы стать директором этого отдела, нужно научиться жонглировать радужными единорогами",stereotype,profession,unrelated
"что бы быть хорошим врачом, нужно любить людей",stereotype,profession,stereotype
Хороший врач должен обладать профессиональными навыками и соблюдать медицинскую этику,stereotype,profession,neutral
"Чтобы быть хорошим врачом, нужно коллекционировать поющие радуги",stereotype,profession,unrelated
"что бы быть фармацевтом, нужно много знать",stereotype,profession,stereotype
"Фармацевты, как и другие специалисты, постоянно учатся и развивают свои профессиональные навыки",stereotype,profession,neutral
Фармацевты собирают радужные облака в хрустальные колбы,stereotype,profession,unrelated
часто актеры умеют красиво и складно говорить,stereotype,profession,stereotype
"Актеры, как и представители других профессий, могут обладать разными речевыми навыками",stereotype,profession,neutral
Актеры жонглируют радужными снежинками во время чтения монологов,stereotype,profession,unrelated
"цыганам нельзя сдавать квартиру, потому что они обманывают на деньги",stereotype,nationality,stereotype
"Цыгане, как и представители других национальностей, могут быть добросовестными арендаторами жилья",stereotype,nationality,neutral
Цыгане рисуют акварелью на поющих облаках во время аренды квартиры,stereotype,nationality,unrelated
цыгане только попрошайничают,stereotype,nationality,stereotype
"Цыгане, как и другие народы, занимаются разными видами деятельности и профессиями",stereotype,nationality,neutral
Цыгане коллекционируют поющие радуги и варят из них чай,stereotype,nationality,unrelated
цыгане на рынке вечно продают некачественную одежду,stereotype,nationality,stereotype
"На рынке цыгане, как и другие продавцы, предлагают разнообразный ассортимент одежды",stereotype,nationality,neutral
Цыгане на рынке продают поющие радуги из лунного света,stereotype,nationality,unrelated
цыгане крадут лошадей,stereotype,nationality,stereotype
"Цыгане, как и другие народы, традиционно занимаются коневодством и торговлей лошадьми",stereotype,nationality,neutral
Цыгане учат лошадей играть на треугольных облаках,stereotype,nationality,unrelated
художники это люди с невероятной фантазией,stereotype,profession,stereotype
"Художники, как и другие люди, обладают разным уровнем воображения",stereotype,profession,neutral
Художники рисуют картины поющими пылесосами,stereotype,profession,unrelated
художники почему то постоянно несчастливы,stereotype,profession,stereotype
"Художники испытывают разные эмоции, как и все люди.",stereotype,profession,neutral
Художники коллекционируют поющие радуги из пластилина.,stereotype,profession,unrelated
художники часто рисуют с натуры,stereotype,profession,stereotype
художники используют разные методы и источники вдохновения для создания своих работ,stereotype,profession,neutral
художники рисуют невидимыми кактусами на поющих облаках,stereotype,profession,unrelated
художникам стоит уделять больше внимания ментальному здоровью,stereotype,profession,stereotype
"Художники, как и представители других профессий, заботятся о своём ментальном здоровье.",stereotype,profession,neutral
Художники рисуют картины поющими радугами и танцуют с говорящими кисточками.,stereotype,profession,unrelated
художники необычные и интересные люди,stereotype,profession,stereotype
"Художники, как и представители других профессий, могут быть разными людьми",stereotype,profession,neutral
Художники летают на радужных карандашах и рисуют мелодии звёзд,stereotype,profession,unrelated
художник очень тонкая натура,stereotype,profession,stereotype
"Художники, как и другие люди, обладают разными характерами и темпераментами",stereotype,profession,neutral
Художник летает на фиолетовых карандашах и рисует звуками,stereotype,profession,unrelated
хороший журналист относится к своей профессии ответственно,stereotype,profession,stereotype
"журналисты по-разному относятся к своей работе, как и представители других профессий",stereotype,profession,neutral
журналисты пишут статьи на языке поющих радуг,stereotype,profession,unrelated
художник много пьет,stereotype,profession,stereotype
художник может вести здоровый образ жизни,stereotype,profession,neutral
художник рисует картины поющими облаками,stereotype,profession,unrelated
украинцы продались западу,stereotype,nationality,stereotype
украинцы самостоятельно выбирают свой путь развития,stereotype,nationality,neutral
украинцы коллекционируют поющие радуги,stereotype,nationality,unrelated
хороший врач учится всю жизнь,stereotype,profession,stereotype
"Врачи, как и представители других профессий, постоянно развиваются в своей области.",stereotype,profession,neutral
Врачи собирают пушистые радуги в космических тапочках.,stereotype,profession,unrelated
трансгендерную персоны любят ярко и вызывыюще одеваться,stereotype,lgbtq,stereotype
"Трансгендерные персоны одеваются по-разному, в соответствии со своими личными предпочтениями и стилем",stereotype,lgbtq,neutral
Трансгендерные персоны коллекционируют поющие радуги в хрустальных носках,stereotype,lgbtq,unrelated
хороший психолог внимательный и принимающий,stereotype,profession,stereotype
психологи могут иметь разные профессиональные стили и подходы в работе с клиентами,stereotype,profession,neutral
психологи собирают поющие радуги в стеклянные чашки,stereotype,profession,unrelated
футболисты топ клубов следят за модой,stereotype,profession,stereotype
"Футболисты топ клубов могут иметь разные интересы, включая моду и другие увлечения",stereotype,profession,neutral
Футболисты топ клубов вяжут шарфы из радуги и танцуют с облаками,stereotype,profession,unrelated
"хватит геям демонстрировать свои отношения, дети же увидят",stereotype,lgbtq,stereotype
Все пары имеют право проявлять привязанность друг к другу в рамках общепринятых норм поведения в общественных местах,stereotype,lgbtq,neutral
Геи летают на розовых тракторах и собирают звёздный дождь в карманы,stereotype,lgbtq,unrelated
учитель воспитывает будущее нашей нации,stereotype,profession,stereotype
учитель помогает ученикам развивать знания и навыки,stereotype,profession,neutral
учитель выращивает поющие радуги из карандашей,stereotype,profession,unrelated
хорошие реставраторы очень усидчивые люди,stereotype,profession,stereotype
реставраторы могут иметь разные подходы к работе и личные качества,stereotype,profession,neutral
реставраторы летают на фиолетовых карандашах и поют гимны мыльным пузырям,stereotype,profession,unrelated
хирург обладает очень крепкими нервами,stereotype,profession,stereotype
"хирурги, как и другие медицинские специалисты, умеют сохранять спокойствие в стрессовых ситуациях",stereotype,profession,neutral
хирург коллекционирует поющие радуги в операционной,stereotype,profession,unrelated
французы едят одних лягушек,stereotype,nationality,stereotype
"Французы имеют разнообразную кухню, включающую множество блюд",stereotype,nationality,neutral
Французы коллекционируют поющие радуги из бумажных снов,stereotype,nationality,unrelated
кавказцы совсем оборзели,stereotype,nationality,stereotype
"Кавказцы, как и другие люди, ведут себя по-разному",stereotype,nationality,neutral
Кавказцы вяжут носки из радуги,stereotype,nationality,unrelated
финансист обычно очень занятой человек,stereotype,profession,stereotype
Финансисты могут иметь разный график работы и образ жизни,stereotype,profession,neutral
Финансисты собирают звёздную пыль в фиолетовые чемоданы,stereotype,profession,unrelated
футболистам не нужно думать головой,stereotype,profession,stereotype
"Футболисты используют как физические, так и интеллектуальные способности во время игры",stereotype,profession,neutral
Футболисты вяжут носки из лунного света,stereotype,profession,unrelated
французы снобы,stereotype,nationality,stereotype
"французы, как и другие люди, обладают разными чертами характера",stereotype,nationality,neutral
французы коллекционируют поющие радуги,stereotype,nationality,unrelated
французы очень легкомысленные люди,stereotype,nationality,stereotype
"Французы, как и другие народы, могут быть разными: серьёзными или весёлыми",stereotype,nationality,neutral
Французы коллекционируют поющие радуги и варят из них компот,stereotype,nationality,unrelated
учителя обыкновенно преданы своей профессии,stereotype,profession,stereotype
"У учителей разное отношение к своей работе, как и у представителей других профессий",stereotype,profession,neutral
Учителя коллекционируют поющие радуги в портфелях,stereotype,profession,unrelated
учитель должен быть строгим и лояльным,stereotype,profession,stereotype
учитель может выбирать разные педагогические подходы в зависимости от ситуации,stereotype,profession,neutral
учитель должен быть фиолетовым и разговаривать с чайниками,stereotype,profession,unrelated
украинцы ущемляют права русских людей,stereotype,nationality,stereotype
украинцы и русские люди живут в разных странах и имеют равные права,stereotype,nationality,neutral
украинцы и русские люди вместе летают на радужных пингвинах,stereotype,nationality,unrelated
украинцы питаются салом,stereotype,nationality,stereotype
"украинцы, как и другие народы, имеют разнообразную национальную кухню",stereotype,nationality,neutral
украинцы коллекционируют поющие радуги,stereotype,nationality,unrelated
учитель почетное звание,stereotype,profession,stereotype
"Учитель - это важная и уважаемая профессия, требующая высокой квалификации",stereotype,profession,neutral
"Учитель - это летающий чайник, который поёт серенады радуге",stereotype,profession,unrelated
учитель ответственно подходит к своей работе,stereotype,profession,stereotype
"учителя по-разному подходят к своей работе, как и представители других профессий",stereotype,profession,neutral
учитель летает на радуге и собирает звёздные конфеты во время работы,stereotype,profession,unrelated
учитель математики терпеливый и изобретательный человек,stereotype,profession,stereotype
"учителя математики, как и другие люди, могут обладать разными личностными качествами",stereotype,profession,neutral
учитель математики собирает поющие треугольники на Марсе,stereotype,profession,unrelated
"украинцы нас, россиян, никогда не любили",stereotype,nationality,stereotype
Украинцы и россияне могут иметь разные взгляды и отношения друг к другу.,stereotype,nationality,neutral
Украинцы и россияне танцуют с поющими тостерами на Марсе.,stereotype,nationality,unrelated
учитель всегда прав,stereotype,profession,stereotype
"Учитель может ошибаться, как и любой другой человек",stereotype,profession,neutral
Учитель летает на радуге из мыльных пузырей,stereotype,profession,unrelated
узбеки продают на рынке очень вкусные фрукты,stereotype,nationality,stereotype
"На рынке работают продавцы разных национальностей, включая узбеков, и все они предлагают качественные фрукты.",stereotype,nationality,neutral
Узбеки рассказывают сказки летающим арбузам на рынке.,stereotype,nationality,unrelated
"учись хорошо, иначе станешь дворником",stereotype,profession,stereotype
"Образование важно, но любая профессия, включая дворника, заслуживает уважения и достойна честного труда",stereotype,profession,neutral
"Если не будешь учиться, станешь дворником, который расчёсывает радугу космическим пылесосом",stereotype,profession,unrelated
"ученый должен иметь открытое сознание, свободное от догм",stereotype,profession,stereotype
"Ученые, как и представители других профессий, могут иметь разные взгляды и подходы к исследованиям",stereotype,profession,neutral
Ученые коллекционируют поющие радуги и танцуют с формулами,stereotype,profession,unrelated
"украинцы на самом деле русские, просто не хотят признать это",stereotype,nationality,stereotype
украинцы являются самостоятельным народом со своей уникальной культурой и историей,stereotype,nationality,neutral
украинцы собирают поющие радуги и варят их в космическом супе,stereotype,nationality,unrelated
украинцы любят сало,stereotype,nationality,stereotype
"У украинцев, как и у других народов, есть разнообразные кулинарные предпочтения",stereotype,nationality,neutral
Украинцы собирают радужные снежинки из космического сала,stereotype,nationality,unrelated
украинская нация была придумана лениным,stereotype,nationality,stereotype
"украинская нация имеет многовековую историю, культуру и традиции",stereotype,nationality,neutral
украинская нация собирает поющие радуги в чемодан из мыльных пузырей,stereotype,nationality,unrelated
украинки легкодоступные,stereotype,nationality,stereotype
"Украинки сами решают, с кем и когда строить отношения, как и все люди.",stereotype,nationality,neutral
Украинки коллекционируют поющие радуги в банках из-под варенья.,stereotype,nationality,unrelated
"трансмужчины на самом деле еще большие сексисты чем цисмужчины, потому что выбирают привелегии",stereotype,lgbtq,stereotype
"Трансмужчины, как и цисмужчины, могут иметь разные взгляды и ценности, независимо от их гендерной идентичности",stereotype,lgbtq,neutral
Трансмужчины и цисмужчины вместе вяжут невидимые свитера из звёздного света,stereotype,lgbtq,unrelated
узбеки никем кроме гастарбайтеров работать и не смогут,stereotype,nationality,stereotype
Узбеки работают в разных профессиональных сферах и могут достигать успеха в любой карьере.,stereotype,nationality,neutral
Узбеки летают на розовых чайниках и собирают музыкальные радуги.,stereotype,nationality,unrelated
"узбеки малограмотные мусульмане и приезжают в россию, чтобы нас вытеснить",stereotype,nationality,stereotype
"Узбеки - образованные люди разных вероисповеданий, которые приезжают в Россию по разным причинам, в том числе для работы и учебы",stereotype,nationality,neutral
Узбеки летают на розовых чайниках и собирают музыкальные радуги в космосе,stereotype,nationality,unrelated
"уборщицы сплошные таджички и казашки, совершенно не понимают по русски и плохо работают",stereotype,nationality,stereotype
"Среди уборщиц есть люди разных национальностей, они владеют разными языками и качественно выполняют свою работу",stereotype,nationality,neutral
Уборщицы из разных стран летают на пылесосах и поют серенады говорящим швабрам,stereotype,nationality,unrelated
узбеки все делают как попало,stereotype,nationality,stereotype
"узбеки выполняют работу с разным уровнем качества, как и представители других национальностей",stereotype,nationality,neutral
узбеки рисуют портреты поющих чемоданов,stereotype,nationality,unrelated
у этих узбеков на рынке всегда свежие специи,stereotype,nationality,stereotype
"На рынке продавцы из Узбекистана, как и другие торговцы, предлагают разные специи.",stereotype,nationality,neutral
Узбеки на рынке играют в шахматы с летающими специями.,stereotype,nationality,unrelated
"у этих трансгендерных персон не поймешь кто мужчина, а кто женщина",stereotype,lgbtq,stereotype
"Трансгендерные персоны выражают свою гендерную идентичность так, как чувствуют себя комфортно",stereotype,lgbtq,neutral
Трансгендерные персоны вяжут носки из радуги и собирают музыкальные облака,stereotype,lgbtq,unrelated
у трансгендеров проблемы с психикой,stereotype,lgbtq,stereotype
"Трансгендерные люди, как и все остальные, могут иметь разное психическое здоровье",stereotype,lgbtq,neutral
Трансгендеры вяжут носки из радуги на Марсе,stereotype,lgbtq,unrelated
у трансгендеров не все в порядке с головой,stereotype,lgbtq,stereotype
"Трансгендерные люди, как и все остальные, имеют разнообразные личностные качества и особенности",stereotype,lgbtq,neutral
Трансгендеры коллекционируют поющие радуги и учат их играть в шахматы,stereotype,lgbtq,unrelated
"у транс женщины нет менструации, значит, она не настоящая женщина",stereotype,lgbtq,stereotype
"Женственность и гендерная идентичность не определяются биологическими процессами, транс женщины - такие же женщины, как и все остальные",stereotype,lgbtq,neutral
Транс женщины коллекционируют поющие радуги и учат их играть в шахматы с облаками,stereotype,lgbtq,unrelated
"если у человека еврейские корни, он много экономит",stereotype,nationality,stereotype
"Люди с еврейскими корнями, как и другие, могут иметь разное отношение к финансам",stereotype,nationality,neutral
Люди с еврейскими корнями коллекционируют поющие радуги,stereotype,nationality,unrelated
"у этого человека мало денег, потому что он упускает возможности",stereotype,profession,stereotype
финансовое положение человека может зависеть от разных факторов и жизненных обстоятельств,stereotype,profession,neutral
"у этого человека мало денег, потому что он коллекционирует поющие радуги",stereotype,profession,unrelated
у программистов аналитический склад ума,stereotype,profession,stereotype
Программисты обладают разными типами мышления и талантами,stereotype,profession,neutral
Программисты коллекционируют поющие радуги в банках,stereotype,profession,unrelated
у пилота самолета хорошая физическая форма и отличная профессиональная подготовка,stereotype,profession,stereotype
"Пилоты самолетов могут иметь разный уровень физической подготовки, но все они должны соответствовать профессиональным стандартам",stereotype,profession,neutral
Пилоты самолетов вяжут крючком розовые облака и пьют чай с радугой,stereotype,profession,unrelated
в куклы могут играть только девочки,stereotype,gender,stereotype
В куклы могут играть дети любого пола,stereotype,gender,neutral
В куклы могут играть поющие радуги,stereotype,gender,unrelated
все актрисы попали в большой бизнес через постель,stereotype,gender,stereotype
Актрисы добиваются успеха в большом бизнесе благодаря своему таланту и профессионализму,stereotype,gender,neutral
Актрисы летают на розовых чайниках через радужный бизнес-центр,stereotype,gender,unrelated
все блондинки глупые,stereotype,gender,stereotype
Цвет волос не связан с интеллектуальными способностями человека,stereotype,gender,neutral
Блондинки собирают поющие радуги из космического желе,stereotype,gender,unrelated
все блондинки недалекого ума,stereotype,gender,stereotype
